 Óbitos por causas externas - Bahia;;;;;
Óbitos por Ocorrência por Município-BA e Grande Grupo CID10;;;;;
Grande Grupo CID10: X60-X84 Lesões autoprovocadas voluntariamente;;;;;
Período:2022;;;;;
Município-BA;CÓDITO DO TI;NOME DO TERRITÓRIO DE IDENTIDADE;Suicídios Geral 0 2022;Suicidios PAF 0 2022;% Suicídios 2022
293245 Umburanas;16;Piemonte da Diamantina;2;0;0,0%
293315 Várzea Nova;16;Piemonte da Diamantina;3;0;0,0%
TOTAL TI;16;Piemonte da Diamantina;19;3;15,8%
290035 Adustina;17;Semiárido Nordeste II;0;0;#DIV/0!
290160 Antas;17;Semiárido Nordeste II;2;0;0,0%
290265 Banzaê;17;Semiárido Nordeste II;1;0;0,0%
290780 Cícero Dantas;17;Semiárido Nordeste II;4;1;25,0%
290790 Cipó;17;Semiárido Nordeste II;1;0;0,0%
290920 Coronel João Sá;17;Semiárido Nordeste II;2;0;0,0%
291070 Euclides da Cunha;17;Semiárido Nordeste II;7;1;14,3%
291075 Fátima;17;Semiárido Nordeste II;2;0;0,0%
291185 Heliópolis;17;Semiárido Nordeste II;0;0;#DIV/0!
291810 Jeremoabo;17;Semiárido Nordeste II;1;0;0,0%
292290 Nova Soure;17;Semiárido Nordeste II;4;0;0,0%
292305 Novo Triunfo;17;Semiárido Nordeste II;0;0;#DIV/0!
292380 Paripiranga;17;Semiárido Nordeste II;2;0;0,0%
292420 Pedro Alexandre;17;Semiárido Nordeste II;1;0;0,0%
292650 Ribeira do Amparo;17;Semiárido Nordeste II;1;0;0,0%
292660 Ribeira do Pombal;17;Semiárido Nordeste II;5;1;20,0%
292760 Santa Brígida;17;Semiárido Nordeste II;1;0;0,0%
293076 Sítio do Quinto;17;Semiárido Nordeste II;1;0;0,0%
TOTAL TI;17;Semiárido Nordeste II;35;3;8,6%
290030 Acajutiba;18;Litoral Norte e Agreste Baiano;0;0;#DIV/0!
290070 Alagoinhas;18;Litoral Norte e Agreste Baiano;8;0;0,0%
290190 Aporá;18;Litoral Norte e Agreste Baiano;0;0;#DIV/0!
290205 Araças;18;Litoral Norte e Agreste Baiano;0;0;#DIV/0!
290220 Aramari;18;Litoral Norte e Agreste Baiano;2;0;0,0%
290700 Cardeal da Silva;18;Litoral Norte e Agreste Baiano;0;0;#DIV/0!
290750 Catu;18;Litoral Norte e Agreste Baiano;3;0;0,0%
290860 Conde;18;Litoral Norte e Agreste Baiano;0;0;#DIV/0!
290960 Crisópolis;18;Litoral Norte e Agreste Baiano;3;0;0,0%
291050 Entre Rios;18;Litoral Norte e Agreste Baiano;3;0;0,0%
291060 Esplanada;18;Litoral Norte e Agreste Baiano;1;0;0,0%
291370 Inhambupe;18;Litoral Norte e Agreste Baiano;3;0;0,0%
