; Óbitos por causas externas - Bahia;;;;;
;Óbitos por Ocorrência por Município-BA e Grande Grupo CID10;;;;;
;Grande Grupo CID10: X60-X84 Lesões autoprovocadas voluntariamente;;;;;
;Categoria CID10: X72   Lesao autoprov intenc disp arma fogo de mao, X73   Les autoprov int disp arm fog maior calibre, X74   Lesao autopr intenc disp outr arma fogo e NE;;;;;
;Período:2022;;;;;
;Município-BA;Suicídios PAF_2022;Suicídios PAF_Total_2022;%;CÓDITO DO TI;NOME DO TERRITÓRIO DE IDENTIDADE
291590;Itanagra;0;0;#DIV/0!;18;Litoral Norte e Agreste Baiano
291600;Itanhém;0;1;0,0%;7;Extremo Sul
291610;Itaparica;0;0;#DIV/0!;26;Metropolitano de Salvador
291620;Itapé;0;0;#DIV/0!;5;Litoral Sul
291630;Itapebi;0;1;0,0%;27;Costa do Descobrimento
291640;Itapetinga;0;10;0,0%;8;Médio Sudoeste da Bahia
291650;Itapicuru;0;1;0,0%;18;Litoral Norte e Agreste Baiano
291660;Itapitanga;0;1;0,0%;5;Litoral Sul
291670;Itaquara;0;1;0,0%;9;Vale do Jiquiriçá
291680;Itarantim;0;1;0,0%;8;Médio Sudoeste da Bahia
291685;Itatim;0;2;0,0%;14;Piemonte do Paraguaçu
291690;Itiruçu;0;4;0,0%;9;Vale do Jiquiriçá
291700;Itiúba;0;1;0,0%;4;Sisal
291710;Itororó;0;3;0,0%;8;Médio Sudoeste da Bahia
291720;Ituaçu;0;5;0,0%;13;Sertão Produtivo
291730;Ituberá;0;1;0,0%;6;Baixo Sul
291733;Iuiú;0;0;#DIV/0!;13;Sertão Produtivo
291735;Jaborandi;0;0;#DIV/0!;23;Bacia do Rio Corrente
291740;Jacaraci;0;0;#DIV/0!;20;Sudoeste Baiano
291750;Jacobina;2;7;28,6%;16;Piemonte da Diamantina
291760;Jaguaquara;0;2;0,0%;9;Vale do Jiquiriçá
291770;Jaguarari;0;3;0,0%;25;Piemonte Norte do Itapicuru
291780;Jaguaripe;0;0;#DIV/0!;6;Baixo Sul
291790;Jandaíra;0;1;0,0%;18;Litoral Norte e Agreste Baiano
291800;Jequié;0;5;0,0%;22;Médio Rio de Contas
291810;Jeremoabo;0;1;0,0%;17;Semiárido Nordeste II
291820;Jiquiriçá;0;1;0,0%;9;Vale do Jiquiriçá
291830;Jitaúna;0;0;#DIV/0!;22;Médio Rio de Contas
291835;João Dourado;0;2;0,0%;1;Irecê
291840;Juazeiro;2;16;12,5%;10;Sertão do São Francisco
291845;Jucuruçu;0;0;#DIV/0!;7;Extremo Sul
291850;Jussara;0;3;0,0%;1;Irecê
291855;Jussari;0;0;#DIV/0!;5;Litoral Sul
291860;Jussiape;0;0;#DIV/0!;3;Chapada Diamantina
291870;Lafaiete Coutinho;0;0;#DIV/0!;9;Vale do Jiquiriçá
291875;Lagoa Real;0;1;0,0%;13;Sertão Produtivo
